Key: 1821 		 Value: 2
Key: d0e4 		 Value: 2
Key: e112 		 Value: 2
Key: b711 		 Value: 2
Key: bdb0 		 Value: 2
Key: 4846 		 Value: 1
Key: b488 		 Value: 2
Key: 67f9 		 Value: 1
Key: c37c 		 Value: 1
Key: 21a3 		 Value: 2
Key: c728 		 Value: 1
Key: 6739 		 Value: 5
Key: 9aea 		 Value: 2
Key: 4cb1 		 Value: 1
Key: b67b 		 Value: 3
Key: 2ad5 		 Value: 2
Key: dc54 		 Value: 2
Key: 7020 		 Value: 2
Key: ad1e 		 Value: 1
Key: 7d28 		 Value: 2
Key: fba5 		 Value: 4
Key: 86cd 		 Value: 3
Key: f7a2 		 Value: 2
Key: cb55 		 Value: 2
Key: fca0 		 Value: 3
Key: daf7 		 Value: 1
Key: 3067 		 Value: 2
Key: 2780 		 Value: 4
Key: 65eb 		 Value: 1
Key: d53b 		 Value: 5
Key: 3cbe 		 Value: 4
Key: ade6 		 Value: 4
Key: 6a12 		 Value: 2
Key: 6b41 		 Value: 4
Key: 639f 		 Value: 7
Key: 84d7 		 Value: 5
Key: 807a 		 Value: 2
Key: 31bf 		 Value: 2
Key: 1479 		 Value: 3
Key: aa12 		 Value: 1
Key: ac66 		 Value: 2
Key: 7eca 		 Value: 4
Key: 13e7 		 Value: 1
Key: 89c7 		 Value: 2
Key: a40e 		 Value: 1
Key: 5f67 		 Value: 2
Key: 4638 		 Value: 2
Key: d2cf 		 Value: 3
Key: 8f4d 		 Value: 1
Key: 1586 		 Value: 1
Key: 12ff 		 Value: 1
Key: 7f11 		 Value: 3
Key: 18be 		 Value: 4
Key: ecb4 		 Value: 3
Key: ccb2 		 Value: 2
Key: 075d 		 Value: 1
Key: 9168 		 Value: 3
Key: ab4e 		 Value: 2
Key: 3294 		 Value: 5
Key: a24c 		 Value: 1
Key: 08b0 		 Value: 2
Key: 0f87 		 Value: 3
Key: 1645 		 Value: 3
Key: 1dd8 		 Value: 1
Key: 311b 		 Value: 5
Key: 0d74 		 Value: 3
Key: 26c8 		 Value: 4
Key: 3f04 		 Value: 3
Key: 5554 		 Value: 2
Key: 2438 		 Value: 1
Key: ccce 		 Value: 4
Key: 9762 		 Value: 4
Key: cbcb 		 Value: 2
Key: f63e 		 Value: 3
Key: d352 		 Value: 3
Key: f360 		 Value: 5
Key: 66d6 		 Value: 1
Key: 9293 		 Value: 2
Key: 6fe2 		 Value: 1
Key: 42bb 		 Value: 3
Key: 3f31 		 Value: 2
Key: 93e7 		 Value: 3
Key: c036 		 Value: 3
Key: 26d8 		 Value: 2
Key: a701 		 Value: 1
Key: b6b1 		 Value: 2
Key: 253e 		 Value: 2
Key: 3b0b 		 Value: 1
Key: 3956 		 Value: 4
Key: 658f 		 Value: 4
Key: 72b2 		 Value: 2
Key: b8ff 		 Value: 6
Key: 09aa 		 Value: 2
Key: 099b 		 Value: 1
Key: ed7c 		 Value: 1
Key: b1a8 		 Value: 1
Key: 0496 		 Value: 4
Key: e75a 		 Value: 4
Key: a193 		 Value: 7
Key: 7be8 		 Value: 2
Key: 1db8 		 Value: 2
Key: 1b9e 		 Value: 2
Key: 3154 		 Value: 2
Key: 7207 		 Value: 1
Key: 1d3a 		 Value: 3
Key: e4bc 		 Value: 1
Key: 5620 		 Value: 1
Key: 9e51 		 Value: 1
Key: 1c94 		 Value: 3
Key: 244e 		 Value: 2
Key: db80 		 Value: 2
Key: 2ee5 		 Value: 2
Key: 97f0 		 Value: 3
Key: d310 		 Value: 2
Key: d93b 		 Value: 5
Key: 10af 		 Value: 2
Key: f5c8 		 Value: 2
Key: 0e42 		 Value: 2
Key: 8bb9 		 Value: 1
Key: 352d 		 Value: 3
Key: d087 		 Value: 1
Key: 85d3 		 Value: 5
Key: b92f 		 Value: 2
Key: 99df 		 Value: 7
Key: acd0 		 Value: 4
Key: 56a4 		 Value: 2
Key: dbbf 		 Value: 1
Key: 58a3 		 Value: 2
Key: 9e13 		 Value: 2
Key: 149e 		 Value: 3
Key: 6269 		 Value: 1
Key: 8920 		 Value: 1
Key: 6947 		 Value: 3
Key: ac28 		 Value: 3
Key: 46ff 		 Value: 1
Key: 4a77 		 Value: 2
Key: 1273 		 Value: 2
Key: f568 		 Value: 3
Key: b2ab 		 Value: 2
Key: c48f 		 Value: 1
Key: 30a7 		 Value: 3
Key: ac7a 		 Value: 2
Key: 72dd 		 Value: 4
Key: 5498 		 Value: 1
Key: ccba 		 Value: 2
Key: 4573 		 Value: 3
Key: b89b 		 Value: 1
Key: 2437 		 Value: 5
Key: d078 		 Value: 4
Key: 85de 		 Value: 2
Key: 3614 		 Value: 3
Key: fb25 		 Value: 4
Key: 3ea8 		 Value: 2
Key: 400e 		 Value: 1
Key: 918c 		 Value: 4
Key: 7096 		 Value: 2
Key: 3c54 		 Value: 1
Key: a74e 		 Value: 2
Key: 8ce2 		 Value: 3
Key: 75f5 		 Value: 4
Key: 17f5 		 Value: 3
Key: 4b3d 		 Value: 1
Key: 230d 		 Value: 2
Key: 3f51 		 Value: 4
Key: ba5f 		 Value: 4
Key: 8c34 		 Value: 3
Key: 2def 		 Value: 5
Key: bef4 		 Value: 3
Key: afff 		 Value: 1
Key: 1506 		 Value: 2
Key: 94a1 		 Value: 3
Key: 901a 		 Value: 1
Key: 304e 		 Value: 2
Key: 499c 		 Value: 2
Key: 0b33 		 Value: 3
Key: 24b0 		 Value: 1
Key: c4e1 		 Value: 3
Key: 71a1 		 Value: 3
Key: 2f30 		 Value: 2
Key: 0009 		 Value: 4
Key: 8f11 		 Value: 2
Key: 511c 		 Value: 2
Key: b4a2 		 Value: 3
Key: 7164 		 Value: 2
Key: 5c47 		 Value: 3
Key: d3e8 		 Value: 2
Key: a8cb 		 Value: 3
Key: 74f9 		 Value: 3
Key: bc2c 		 Value: 2
Key: ad24 		 Value: 1
Key: 8916 		 Value: 2
Key: dad6 		 Value: 4
Key: 1bb6 		 Value: 1
Key: 2bc7 		 Value: 2
Key: a9b6 		 Value: 3
Key: 487b 		 Value: 2
Key: fa50 		 Value: 1
Key: 1207 		 Value: 2
Key: 0fea 		 Value: 4
Key: e9a3 		 Value: 3
Key: 7873 		 Value: 1
Key: a215 		 Value: 2
Key: 5f02 		 Value: 2
Key: 3b6d 		 Value: 4
Key: f13d 		 Value: 4
Key: ef6f 		 Value: 2
Key: 6358 		 Value: 4
Key: cf83 		 Value: 2
Key: 08e2 		 Value: 3
Key: 64ba 		 Value: 3
Key: 80e5 		 Value: 1
Key: 9444 		 Value: 1
Key: c115 		 Value: 3
Key: 56e6 		 Value: 1
Key: b2d7 		 Value: 3
Key: 59de 		 Value: 4
Key: 8dc8 		 Value: 2
Key: adb9 		 Value: 4
Key: 6bdb 		 Value: 2
Key: 6db8 		 Value: 1
Key: 4bb0 		 Value: 1
Key: 0855 		 Value: 5
Key: 18c1 		 Value: 2
Key: 00e4 		 Value: 3
Key: c24c 		 Value: 1
Key: cd95 		 Value: 3
Key: 4df7 		 Value: 5
Key: ec75 		 Value: 4
Key: 7d4d 		 Value: 5
Key: c52b 		 Value: 2
Key: e8bd 		 Value: 3
Key: 04bd 		 Value: 2
Key: 0312 		 Value: 6
Key: afcf 		 Value: 2
Key: c89f 		 Value: 2
Key: 5a1c 		 Value: 2
Key: 9566 		 Value: 4
Key: 51c2 		 Value: 2
Key: af3f 		 Value: 2
Key: 9e81 		 Value: 2
Key: fdbe 		 Value: 2
Key: 8f2a 		 Value: 2
Key: ab2e 		 Value: 2
Key: 19d2 		 Value: 1
Key: 9768 		 Value: 4
Key: e1b2 		 Value: 4
Key: c756 		 Value: 3
Key: d1d9 		 Value: 4
Key: 3815 		 Value: 3
Key: 6c3a 		 Value: 2
Key: a8b1 		 Value: 2
Key: 72ea 		 Value: 2
Key: 6972 		 Value: 2
Key: 6f76 		 Value: 1
Key: 11fe 		 Value: 2
Key: 2e5d 		 Value: 3
Key: b429 		 Value: 4
Key: b325 		 Value: 3
Key: aa03 		 Value: 2
Key: 2fcc 		 Value: 3
Key: 93d6 		 Value: 5
Key: c989 		 Value: 3
Key: 77f6 		 Value: 3
Key: 8a16 		 Value: 1
Key: 4186 		 Value: 1
Key: 2043 		 Value: 5
Key: 0554 		 Value: 2
Key: 51dd 		 Value: 1
Key: c799 		 Value: 3
Key: 26a1 		 Value: 2
Key: f116 		 Value: 2
Key: da11 		 Value: 2
Key: dcc1 		 Value: 2
Key: 9658 		 Value: 3
Key: 674d 		 Value: 1
Key: ed12 		 Value: 4
Key: 9a09 		 Value: 4
Key: 1079 		 Value: 1
Key: cd1d 		 Value: 3
Key: bf38 		 Value: 2
Key: 2add 		 Value: 3
Key: e43e 		 Value: 4
Key: 633a 		 Value: 3
Key: fc24 		 Value: 4
Key: 0a3d 		 Value: 2
Key: aa33 		 Value: 2
Key: 955c 		 Value: 2
Key: 95c1 		 Value: 3
Key: 12c0 		 Value: 3
Key: c6cc 		 Value: 2
Key: 2813 		 Value: 2
Key: b8de 		 Value: 4
Key: 1d5c 		 Value: 2
Key: dade 		 Value: 3
Key: 41bc 		 Value: 2
Key: 66c8 		 Value: 1
Key: 9880 		 Value: 1
Key: a6c6 		 Value: 4
Key: 7dbb 		 Value: 3
Key: 00e7 		 Value: 2
Key: b5ac 		 Value: 2
Key: 207e 		 Value: 3
Key: 4f57 		 Value: 5
Key: 70bd 		 Value: 2
Key: 5906 		 Value: 1
Key: 6509 		 Value: 5
Key: ade9 		 Value: 1
Key: 79a8 		 Value: 4
Key: ce37 		 Value: 1
Key: 20f5 		 Value: 3
Key: 5ec0 		 Value: 1
Key: 37d6 		 Value: 1
Key: 462d 		 Value: 2
Key: 6b11 		 Value: 4
Key: 4c71 		 Value: 2
Key: db3f 		 Value: 2
Key: 04e6 		 Value: 5
Key: 8b85 		 Value: 2
Key: 2ac5 		 Value: 3
Key: 9580 		 Value: 1
Key: 0e82 		 Value: 3
Key: 9817 		 Value: 4
Key: 495f 		 Value: 3
Key: 9994 		 Value: 8
Key: 63b4 		 Value: 5
Key: 16a2 		 Value: 3
Key: 96c9 		 Value: 4
Key: 47ac 		 Value: 3
Key: bf82 		 Value: 6
Key: ba3f 		 Value: 3
Key: 957e 		 Value: 5
Key: 47d7 		 Value: 3
Key: 278a 		 Value: 1
Key: 98d2 		 Value: 1
Key: 61a3 		 Value: 2
Key: 3d42 		 Value: 1
Key: 4b96 		 Value: 2
Key: a4ec 		 Value: 1
Key: 16df 		 Value: 1
Key: eda4 		 Value: 4
Key: cd6c 		 Value: 3
Key: 6827 		 Value: 1
Key: 2ad4 		 Value: 4
Key: 7e82 		 Value: 2
Key: e4bb 		 Value: 4
Key: 8e91 		 Value: 4
Key: a47b 		 Value: 3
Key: 316b 		 Value: 7
Key: 063c 		 Value: 2
Key: 418c 		 Value: 1
Key: d29c 		 Value: 2
Key: dffe 		 Value: 1
Key: 6476 		 Value: 2
Key: fda0 		 Value: 1
Key: ff0a 		 Value: 1
Key: c6f9 		 Value: 2
Key: 8cb3 		 Value: 2
Key: 1160 		 Value: 2
Key: 89cf 		 Value: 3
Key: 306f 		 Value: 3
Key: f314 		 Value: 2
Key: 339e 		 Value: 1
Key: 7806 		 Value: 2
Key: eaef 		 Value: 2
Key: 4fa5 		 Value: 2
Key: 5b45 		 Value: 4
Key: b313 		 Value: 1
Key: 4bd7 		 Value: 5
Key: 19c2 		 Value: 6
Key: 91b7 		 Value: 4
Key: 79ec 		 Value: 3
Key: 21c6 		 Value: 1
Key: 4f97 		 Value: 1
Key: 7ff4 		 Value: 1
Key: ede4 		 Value: 5
Key: 5213 		 Value: 5
Key: 35f2 		 Value: 1
Key: 2b44 		 Value: 3
Key: aaf4 		 Value: 2
Key: 006a 		 Value: 2
Key: b92b 		 Value: 2
Key: b742 		 Value: 2
Key: 915f 		 Value: 1
Key: 836b 		 Value: 2
Key: e467 		 Value: 1
Key: 1916 		 Value: 1
Key: 0eef 		 Value: 3
Key: 3a93 		 Value: 1
Key: 2a7f 		 Value: 3
Key: b4a8 		 Value: 3
Key: 6370 		 Value: 4
Key: d539 		 Value: 3
Key: b4a4 		 Value: 2
Key: aaf8 		 Value: 2
Key: 1715 		 Value: 4
Key: b36d 		 Value: 2
Key: 75cf 		 Value: 4
Key: 2fc3 		 Value: 1
Key: b4b8 		 Value: 3
Key: d731 		 Value: 2
Key: 7731 		 Value: 2
Key: e3e1 		 Value: 1
Key: 7dd7 		 Value: 2
Key: 3d8b 		 Value: 3
Key: de3f 		 Value: 2
Key: c136 		 Value: 2
Key: bdf0 		 Value: 2
Key: dbd5 		 Value: 2
Key: b16a 		 Value: 4
Key: ed6c 		 Value: 4
Key: 5263 		 Value: 2
Key: b1c4 		 Value: 2
Key: 40d9 		 Value: 2
Key: b369 		 Value: 2
Key: 1878 		 Value: 2
Key: b28e 		 Value: 2
Key: eca9 		 Value: 4
Key: 1351 		 Value: 1
Key: d01e 		 Value: 5
Key: a1ee 		 Value: 3
Key: 929d 		 Value: 1
Key: 871e 		 Value: 1
Key: 8ffc 		 Value: 3
Key: 4e0d 		 Value: 4
Key: a8e4 		 Value: 3
Key: 7a25 		 Value: 1
Key: ab1f 		 Value: 1
Key: c2f9 		 Value: 4
Key: 4f02 		 Value: 1
Key: d654 		 Value: 1
Key: d955 		 Value: 2
Key: fe9c 		 Value: 1
Key: 9079 		 Value: 4
Key: 3dfe 		 Value: 3
Key: 6ef9 		 Value: 4
Key: aece 		 Value: 5
Key: 7b46 		 Value: 2
Key: 0464 		 Value: 3
Key: 8dcf 		 Value: 1
Key: 5dc9 		 Value: 3
Key: 8577 		 Value: 4
Key: 8cbf 		 Value: 1
Key: 7007 		 Value: 3
Key: 0316 		 Value: 3
Key: a431 		 Value: 3
Key: ea50 		 Value: 1
Key: c880 		 Value: 2
Key: 51b9 		 Value: 3
Key: cb87 		 Value: 4
Key: 8e3f 		 Value: 1
Key: 916c 		 Value: 4
Key: 4328 		 Value: 3
Key: cd80 		 Value: 4
Key: 522f 		 Value: 4
Key: 293e 		 Value: 2
Key: 8107 		 Value: 3
Key: 0046 		 Value: 2
Key: fb2d 		 Value: 3
Key: a1f0 		 Value: 1
Key: 4f0e 		 Value: 2
Key: 0b37 		 Value: 1
Key: 9195 		 Value: 2
Key: c1eb 		 Value: 1
Key: 03bc 		 Value: 2
Key: 556c 		 Value: 5
Key: 8f23 		 Value: 4
Key: a425 		 Value: 3
Key: a6b8 		 Value: 3
Key: 5bd2 		 Value: 3
Key: 5458 		 Value: 2
Key: 1e60 		 Value: 2
Key: 5f52 		 Value: 1
Key: 857a 		 Value: 2
Key: f9b1 		 Value: 3
Key: d244 		 Value: 3
Key: cdb8 		 Value: 2
Key: d571 		 Value: 1
Key: e18b 		 Value: 3
Key: 8fe4 		 Value: 5
Key: 31d5 		 Value: 2
Key: 9666 		 Value: 3
Key: 0ace 		 Value: 4
Key: 2da6 		 Value: 2
Key: 4f7e 		 Value: 2
Key: 1f3e 		 Value: 2
Key: 1a93 		 Value: 1
Key: a386 		 Value: 3
Key: dcbe 		 Value: 2
Key: ec57 		 Value: 4
Key: 42b0 		 Value: 3
Key: 2ee9 		 Value: 2
Key: 2e59 		 Value: 3
Key: a18b 		 Value: 3
Key: ee53 		 Value: 3
Key: 281c 		 Value: 4
Key: 1cb0 		 Value: 2
Key: 2991 		 Value: 5
Key: d9bb 		 Value: 1
Key: 58e8 		 Value: 2
Key: 0ff4 		 Value: 3
Key: 5655 		 Value: 2
Key: be12 		 Value: 4
Key: 9f46 		 Value: 2
Key: b4e9 		 Value: 1
Key: 04a5 		 Value: 3
Key: 8e14 		 Value: 6
Key: c52d 		 Value: 5
Key: 492f 		 Value: 3
Key: df17 		 Value: 1
Key: 93a4 		 Value: 1
Key: 028e 		 Value: 4
Key: 5be6 		 Value: 3
Key: 8e88 		 Value: 1
Key: 1090 		 Value: 4
Key: 3ae2 		 Value: 3
Key: 6de2 		 Value: 3
Key: 0800 		 Value: 2
Key: d5cb 		 Value: 3
Key: 6045 		 Value: 1
Key: 2934 		 Value: 2
Key: 7c54 		 Value: 2
Key: 44c8 		 Value: 2
Key: a8a5 		 Value: 4
Key: feef 		 Value: 2
Key: 10c5 		 Value: 3
Key: 14fd 		 Value: 1
Key: 2cab 		 Value: 4
Key: 9b33 		 Value: 2
Key: 7463 		 Value: 1
Key: d00d 		 Value: 2
Key: ceba 		 Value: 3
Key: 8a50 		 Value: 3
Key: d83f 		 Value: 2
Key: 49a3 		 Value: 4
Key: 101d 		 Value: 6
Key: 8b63 		 Value: 4
Key: 456d 		 Value: 5
Key: daae 		 Value: 1
Key: 0e01 		 Value: 3
Key: f8f3 		 Value: 5
Key: c4fe 		 Value: 1
Key: de4a 		 Value: 3
Key: 3882 		 Value: 2
Key: 0cb0 		 Value: 2
Key: c8c1 		 Value: 4
Key: 12f5 		 Value: 2
Key: 489a 		 Value: 5
Key: 8312 		 Value: 1
Key: 3d58 		 Value: 2
Key: 7036 		 Value: 4
Key: 5845 		 Value: 1
Key: af6d 		 Value: 5
Key: 2b35 		 Value: 2
Key: 53ab 		 Value: 3
Key: a9f3 		 Value: 2
Key: 8533 		 Value: 2
Key: d6a9 		 Value: 3
Key: 0f5d 		 Value: 3
Key: 3282 		 Value: 1
Key: cead 		 Value: 2
Key: 15be 		 Value: 5
Key: 51b2 		 Value: 1
Key: e326 		 Value: 3
Key: a8f7 		 Value: 3
Key: 79ef 		 Value: 2
Key: 2897 		 Value: 3
Key: 1e41 		 Value: 2
Key: 0e5c 		 Value: 4
Key: b047 		 Value: 1
Key: 5303 		 Value: 2
Key: 5f03 		 Value: 3
Key: d3c3 		 Value: 2
Key: 46b6 		 Value: 3
Key: aada 		 Value: 2
Key: 1099 		 Value: 1
Key: ec2a 		 Value: 1
Key: 1863 		 Value: 2
Key: df14 		 Value: 3
Key: 3c55 		 Value: 2
Key: ba7e 		 Value: 1
Key: c6dc 		 Value: 2
Key: cce9 		 Value: 3
Key: 4abd 		 Value: 6
Key: 8946 		 Value: 3
Key: f1ed 		 Value: 2
Key: 293f 		 Value: 4
Key: 1260 		 Value: 3
Key: a26b 		 Value: 3
Key: 2e12 		 Value: 2
Key: 323e 		 Value: 3
Key: a059 		 Value: 2
Key: ce11 		 Value: 1
Key: 8b6e 		 Value: 4
Key: 2be4 		 Value: 3
Key: 5372 		 Value: 3
Key: e6cc 		 Value: 2
Key: 143b 		 Value: 1
Key: e261 		 Value: 3
Key: ea58 		 Value: 1
Key: 4ad7 		 Value: 1
Key: a484 		 Value: 2
Key: 5634 		 Value: 5
Key: a710 		 Value: 4
Key: dfbe 		 Value: 1
Key: 498a 		 Value: 4
Key: 327f 		 Value: 2
Key: ceeb 		 Value: 1
Key: 4090 		 Value: 1
Key: 0f4f 		 Value: 2
Key: dc9b 		 Value: 2
Key: 39cf 		 Value: 1
Key: 7fbc 		 Value: 3
Key: a685 		 Value: 2
Key: 7a34 		 Value: 6
Key: 4881 		 Value: 2
Key: f092 		 Value: 2
Key: 1d0d 		 Value: 1
Key: 53bb 		 Value: 3
Key: f295 		 Value: 4
Key: f645 		 Value: 1
Key: c37f 		 Value: 3
Key: b38c 		 Value: 2
Key: 4372 		 Value: 4
Key: b838 		 Value: 2
Key: b5e0 		 Value: 2
Key: 2b9a 		 Value: 2
Key: 4688 		 Value: 1
Key: 5280 		 Value: 2
Key: 8713 		 Value: 3
Key: 8355 		 Value: 2
Key: 7dc4 		 Value: 2
Key: c894 		 Value: 2
Key: 8de0 		 Value: 3
Key: c8d0 		 Value: 1
Key: f804 		 Value: 5
Key: 266d 		 Value: 1
Key: 0a7a 		 Value: 1
Key: d114 		 Value: 2
Key: b524 		 Value: 1
Key: 5bec 		 Value: 1
Key: 0d1e 		 Value: 3
Key: ea2b 		 Value: 4
Key: 0081 		 Value: 1
Key: 001a 		 Value: 3
Key: 4244 		 Value: 3
Key: 124b 		 Value: 3
Key: 9091 		 Value: 2
Key: a969 		 Value: 3
Key: faa3 		 Value: 2
Key: b55c 		 Value: 1
Key: 445f 		 Value: 2
Key: ecd5 		 Value: 2
Key: f9d5 		 Value: 1
Key: be4e 		 Value: 1
Key: d164 		 Value: 2
Key: b3f5 		 Value: 2
Key: cb3a 		 Value: 2
Key: 7cf8 		 Value: 2
Key: 40dd 		 Value: 3
Key: 40b8 		 Value: 2
Key: 8aa2 		 Value: 2
Key: d404 		 Value: 2
Key: 1fd5 		 Value: 1
Key: d459 		 Value: 2
Key: e8b7 		 Value: 3
Key: 7454 		 Value: 4
Key: e03d 		 Value: 2
Key: dd66 		 Value: 2
Key: 04b1 		 Value: 1
Key: 8468 		 Value: 2
Key: 3d7d 		 Value: 2
Key: 56d1 		 Value: 4
Key: eff4 		 Value: 2
Key: 592b 		 Value: 3
Key: 17f0 		 Value: 3
Key: ee21 		 Value: 1
Key: 5325 		 Value: 3
Key: ab05 		 Value: 1
Key: f6be 		 Value: 1
Key: b251 		 Value: 1
Key: e9a9 		 Value: 2
Key: d2d2 		 Value: 1
Key: 45fc 		 Value: 3
Key: d9a9 		 Value: 2
Key: 6acd 		 Value: 1
Key: c4b2 		 Value: 2
Key: c2a2 		 Value: 2
Key: afdd 		 Value: 1
Key: 1a97 		 Value: 3
Key: 5e4b 		 Value: 3
Key: 76b7 		 Value: 1
Key: 8ead 		 Value: 1
Key: 5629 		 Value: 2
Key: f695 		 Value: 2
Key: 94b6 		 Value: 7
Key: 3f8f 		 Value: 2
Key: 966c 		 Value: 2
Key: 3f3f 		 Value: 3
Key: 9947 		 Value: 1
Key: 38b6 		 Value: 3
Key: 7867 		 Value: 3
Key: 4a0a 		 Value: 1
Key: 5d0e 		 Value: 3
Key: 44e3 		 Value: 1
Key: 124a 		 Value: 2
Key: ac19 		 Value: 2
Key: 65d2 		 Value: 5
Key: d324 		 Value: 1
Key: d616 		 Value: 3
Key: 870a 		 Value: 2
Key: ffec 		 Value: 3
Key: ecc5 		 Value: 5
Key: 50d9 		 Value: 2
Key: a071 		 Value: 4
Key: fd72 		 Value: 4
Key: f49a 		 Value: 5
Key: b0a4 		 Value: 1
Key: 87a7 		 Value: 1
Key: 9f69 		 Value: 2
Key: 9184 		 Value: 3
Key: 27dd 		 Value: 4
Key: 8a2b 		 Value: 3
Key: 8e75 		 Value: 5
Key: 43b3 		 Value: 4
Key: 82b6 		 Value: 1
Key: d905 		 Value: 4
Key: 0707 		 Value: 1
Key: 9557 		 Value: 2
Key: a7c7 		 Value: 5
Key: bf8f 		 Value: 2
Key: cb31 		 Value: 1
Key: 73ef 		 Value: 3
Key: bce6 		 Value: 1
Key: 9b07 		 Value: 1
Key: 500a 		 Value: 2
Key: 93fe 		 Value: 3
Key: 595b 		 Value: 3
Key: 1059 		 Value: 1
Key: ca15 		 Value: 5
Key: 1ee8 		 Value: 2
Key: d9f6 		 Value: 2
Key: bef3 		 Value: 1
Key: 127a 		 Value: 1
Key: b1e7 		 Value: 3
Key: 0847 		 Value: 4
Key: afbd 		 Value: 2
Key: 738e 		 Value: 2
Key: 0e9c 		 Value: 2
Key: 9bec 		 Value: 2
Key: e3d9 		 Value: 3
Key: 99cf 		 Value: 1
Key: 0a24 		 Value: 1
Key: eafb 		 Value: 3
Key: 5e1e 		 Value: 3
Key: dc6f 		 Value: 1
Key: 06fa 		 Value: 1
Key: 7276 		 Value: 2
Key: 03e6 		 Value: 1
Key: ad5d 		 Value: 2
Key: a327 		 Value: 1
Key: 048e 		 Value: 2
Key: 4740 		 Value: 2
Key: ae27 		 Value: 2
Key: 6f21 		 Value: 3
Key: 3e89 		 Value: 3
Key: 9a56 		 Value: 1
Key: 36b1 		 Value: 2
Key: f033 		 Value: 3
Key: a161 		 Value: 1
Key: 7062 		 Value: 1
Key: d0bb 		 Value: 6
Key: 1a4c 		 Value: 1
Key: 95b8 		 Value: 3
Key: b44b 		 Value: 3
Key: 87a4 		 Value: 3
Key: 619f 		 Value: 4
Key: 338e 		 Value: 1
Key: 7793 		 Value: 1
Key: c9ad 		 Value: 1
Key: 860b 		 Value: 2
Key: f5cb 		 Value: 2
Key: adf1 		 Value: 2
Key: b275 		 Value: 4
Key: 479f 		 Value: 2
Key: ef38 		 Value: 3
Key: ac10 		 Value: 3
Key: 3016 		 Value: 2
Key: aae9 		 Value: 4
Key: 113d 		 Value: 3
Key: f397 		 Value: 2
Key: 94f8 		 Value: 1
Key: c052 		 Value: 2
Key: a508 		 Value: 1
Key: 01ca 		 Value: 2
Key: 73ed 		 Value: 2
Key: ab60 		 Value: 1
Key: 2dd4 		 Value: 2
Key: 5e0f 		 Value: 1
Key: 2895 		 Value: 2
Key: f74e 		 Value: 1
Key: b7f8 		 Value: 1
Key: 7d2e 		 Value: 1
Key: 85c1 		 Value: 3
Key: 6c3c 		 Value: 1
Key: 05d6 		 Value: 3
Key: af2e 		 Value: 2
Key: 3f7c 		 Value: 4
Key: d7aa 		 Value: 4
Key: 4018 		 Value: 2
Key: 0841 		 Value: 5
Key: 7403 		 Value: 3
Key: 4284 		 Value: 1
Key: c51c 		 Value: 5
Key: ba34 		 Value: 1
Key: 92e6 		 Value: 3
Key: 9b65 		 Value: 3
Key: d5f5 		 Value: 1
Key: 2225 		 Value: 3
Key: cf2c 		 Value: 2
Key: ccaa 		 Value: 3
Key: e2d8 		 Value: 5
Key: 6e59 		 Value: 3
Key: c4bb 		 Value: 4
Key: 1d31 		 Value: 2
