Key: 7b7 		 Value: 25
Key: 788 		 Value: 33
Key: 83b 		 Value: 23
Key: c24 		 Value: 29
Key: f45 		 Value: 30
Key: 760 		 Value: 25
Key: 6c4 		 Value: 35
Key: 5b5 		 Value: 21
Key: a9c 		 Value: 22
Key: 351 		 Value: 21
Key: ea2 		 Value: 27
Key: 4dc 		 Value: 26
Key: 5a3 		 Value: 25
Key: 0ed 		 Value: 40
Key: 14e 		 Value: 23
Key: 8da 		 Value: 19
Key: e4c 		 Value: 20
Key: d3d 		 Value: 32
Key: 657 		 Value: 36
Key: 475 		 Value: 18
Key: 279 		 Value: 22
Key: cbb 		 Value: 24
Key: 4cc 		 Value: 17
Key: 51f 		 Value: 19
Key: 667 		 Value: 26
Key: 864 		 Value: 19
Key: 3b4 		 Value: 28
Key: b56 		 Value: 25
Key: 6dd 		 Value: 31
Key: 1ff 		 Value: 31
Key: 847 		 Value: 26
Key: 438 		 Value: 22
Key: d1c 		 Value: 15
Key: 79b 		 Value: 33
Key: c7a 		 Value: 26
Key: 715 		 Value: 27
Key: 03e 		 Value: 19
Key: 7f1 		 Value: 24
Key: e57 		 Value: 28
Key: 400 		 Value: 37
Key: 302 		 Value: 24
Key: 67a 		 Value: 21
Key: 7a6 		 Value: 35
Key: 8b6 		 Value: 21
Key: 744 		 Value: 26
Key: 03a 		 Value: 30
Key: ab7 		 Value: 24
Key: 3aa 		 Value: 26
Key: 032 		 Value: 27
Key: 027 		 Value: 28
Key: 812 		 Value: 27
Key: 74f 		 Value: 24
Key: ae8 		 Value: 37
Key: 0f3 		 Value: 23
Key: dce 		 Value: 16
Key: 24f 		 Value: 22
Key: c6a 		 Value: 21
Key: 62d 		 Value: 22
Key: 048 		 Value: 21
Key: 80f 		 Value: 27
Key: 801 		 Value: 26
Key: 54e 		 Value: 34
Key: 849 		 Value: 25
Key: 7ab 		 Value: 31
Key: a75 		 Value: 30
Key: 154 		 Value: 26
Key: edf 		 Value: 22
Key: ceb 		 Value: 35
Key: 6af 		 Value: 23
Key: 531 		 Value: 26
Key: 9d1 		 Value: 26
Key: 9b8 		 Value: 20
Key: f91 		 Value: 24
Key: a1f 		 Value: 28
Key: 68b 		 Value: 27
Key: 278 		 Value: 34
Key: cf2 		 Value: 28
Key: c40 		 Value: 24
Key: 61e 		 Value: 18
Key: d05 		 Value: 19
Key: 9b4 		 Value: 27
Key: 24a 		 Value: 23
Key: b37 		 Value: 20
Key: 497 		 Value: 23
Key: c45 		 Value: 18
Key: 9f0 		 Value: 30
Key: 375 		 Value: 19
Key: e77 		 Value: 27
Key: 5b8 		 Value: 19
Key: 23e 		 Value: 28
Key: 911 		 Value: 26
Key: 038 		 Value: 31
Key: fb1 		 Value: 26
Key: 0ee 		 Value: 19
Key: 614 		 Value: 23
Key: 0b9 		 Value: 21
Key: 6eb 		 Value: 26
Key: 412 		 Value: 35
Key: 042 		 Value: 30
Key: c47 		 Value: 32
Key: ec9 		 Value: 26
Key: abb 		 Value: 25
Key: cb9 		 Value: 26
Key: 725 		 Value: 28
Key: 36d 		 Value: 15
Key: aa0 		 Value: 28
Key: 659 		 Value: 22
Key: 5d4 		 Value: 29
Key: 1d3 		 Value: 23
Key: d46 		 Value: 37
Key: 8bb 		 Value: 25
Key: cfe 		 Value: 27
Key: 28b 		 Value: 20
Key: 186 		 Value: 20
Key: 924 		 Value: 24
Key: 67c 		 Value: 22
Key: 305 		 Value: 28
Key: e47 		 Value: 26
Key: 16b 		 Value: 24
Key: 62b 		 Value: 28
Key: 02f 		 Value: 36
Key: 5d6 		 Value: 33
Key: caf 		 Value: 21
Key: e28 		 Value: 30
Key: 48a 		 Value: 23
Key: 2f7 		 Value: 28
Key: 3ad 		 Value: 21
Key: 85d 		 Value: 28
Key: 214 		 Value: 30
Key: 282 		 Value: 15
Key: 8a6 		 Value: 26
Key: dee 		 Value: 32
Key: da7 		 Value: 25
Key: e2b 		 Value: 24
Key: f2e 		 Value: 22
Key: 26d 		 Value: 20
Key: 071 		 Value: 19
Key: dd6 		 Value: 23
Key: c87 		 Value: 32
Key: 3c2 		 Value: 23
Key: e75 		 Value: 26
Key: 6ab 		 Value: 28
Key: 8a0 		 Value: 30
Key: 79f 		 Value: 19
Key: e09 		 Value: 20
Key: 56d 		 Value: 32
Key: 519 		 Value: 27
Key: f77 		 Value: 26
Key: 796 		 Value: 16
Key: 984 		 Value: 23
Key: 04d 		 Value: 27
Key: 90c 		 Value: 28
Key: 537 		 Value: 29
Key: a93 		 Value: 18
Key: fe0 		 Value: 20
Key: e34 		 Value: 22
Key: 193 		 Value: 18
Key: ff6 		 Value: 22
Key: c53 		 Value: 25
Key: ed8 		 Value: 24
Key: 988 		 Value: 26
Key: 933 		 Value: 31
Key: 28e 		 Value: 21
Key: 0d1 		 Value: 30
Key: 7b2 		 Value: 20
Key: 529 		 Value: 28
Key: dd8 		 Value: 22
Key: 59c 		 Value: 20
Key: e11 		 Value: 23
Key: c59 		 Value: 22
Key: 376 		 Value: 26
Key: d94 		 Value: 22
Key: ea1 		 Value: 28
Key: 045 		 Value: 20
Key: 65c 		 Value: 26
Key: 4a8 		 Value: 22
Key: 5d2 		 Value: 29
Key: b64 		 Value: 19
Key: 421 		 Value: 36
Key: 66e 		 Value: 15
Key: e17 		 Value: 18
Key: ea6 		 Value: 28
Key: 23d 		 Value: 26
Key: e30 		 Value: 22
Key: d9a 		 Value: 22
Key: e5c 		 Value: 29
Key: 4ae 		 Value: 24
Key: 593 		 Value: 32
Key: 4b0 		 Value: 23
Key: 8df 		 Value: 27
Key: a7b 		 Value: 19
Key: d63 		 Value: 35
Key: 315 		 Value: 23
Key: b2b 		 Value: 28
Key: aff 		 Value: 31
Key: f11 		 Value: 18
Key: 327 		 Value: 20
Key: d2e 		 Value: 24
Key: 7cd 		 Value: 32
Key: 5c0 		 Value: 23
Key: 381 		 Value: 22
Key: 0be 		 Value: 30
Key: f9f 		 Value: 25
Key: d5d 		 Value: 17
Key: d96 		 Value: 39
Key: 619 		 Value: 32
Key: 0f9 		 Value: 23
Key: 934 		 Value: 22
Key: 3cf 		 Value: 22
Key: a67 		 Value: 20
Key: 9d3 		 Value: 29
Key: a29 		 Value: 28
Key: 694 		 Value: 20
Key: 57e 		 Value: 29
Key: b8d 		 Value: 17
Key: 2b4 		 Value: 23
Key: 80b 		 Value: 26
Key: 01b 		 Value: 29
Key: 6b5 		 Value: 16
Key: f6a 		 Value: 20
Key: 9cc 		 Value: 22
Key: 805 		 Value: 22
Key: da2 		 Value: 34
Key: 24d 		 Value: 21
Key: bb8 		 Value: 32
Key: aa4 		 Value: 26
Key: 5fa 		 Value: 28
Key: ddd 		 Value: 32
Key: 4e3 		 Value: 20
Key: db7 		 Value: 26
Key: 5a1 		 Value: 31
Key: 292 		 Value: 16
Key: 03f 		 Value: 19
Key: 822 		 Value: 18
Key: ce7 		 Value: 27
Key: 8f4 		 Value: 28
Key: 4f5 		 Value: 24
Key: 75b 		 Value: 26
Key: a76 		 Value: 25
Key: 4af 		 Value: 28
Key: f8c 		 Value: 25
Key: 0bc 		 Value: 31
Key: 9c1 		 Value: 22
Key: fe2 		 Value: 22
Key: 5b4 		 Value: 30
Key: fcf 		 Value: 23
Key: ee7 		 Value: 28
Key: d7a 		 Value: 23
Key: ea4 		 Value: 26
Key: 2c2 		 Value: 28
Key: b84 		 Value: 25
Key: b3f 		 Value: 24
Key: 7de 		 Value: 28
Key: 4ef 		 Value: 30
Key: 342 		 Value: 23
Key: aec 		 Value: 26
Key: b40 		 Value: 27
Key: fee 		 Value: 17
Key: 5d8 		 Value: 29
Key: c8d 		 Value: 27
Key: 8de 		 Value: 21
Key: 03c 		 Value: 26
Key: a59 		 Value: 24
Key: 5a4 		 Value: 25
Key: 1ea 		 Value: 21
Key: 1ec 		 Value: 30
Key: dc0 		 Value: 26
Key: d12 		 Value: 23
Key: 967 		 Value: 13
Key: d83 		 Value: 21
Key: 516 		 Value: 19
Key: 175 		 Value: 27
Key: 7b4 		 Value: 27
Key: 717 		 Value: 27
Key: 10d 		 Value: 27
Key: ac2 		 Value: 21
Key: 64c 		 Value: 24
Key: 9e9 		 Value: 23
Key: 234 		 Value: 27
Key: fff 		 Value: 19
Key: cb8 		 Value: 19
Key: b58 		 Value: 22
Key: fda 		 Value: 28
Key: ce4 		 Value: 28
Key: 558 		 Value: 26
Key: ce3 		 Value: 19
Key: 195 		 Value: 25
Key: ea8 		 Value: 23
Key: 230 		 Value: 23
Key: 1d9 		 Value: 27
Key: b7e 		 Value: 23
Key: 0f5 		 Value: 32
Key: 27a 		 Value: 24
Key: c4e 		 Value: 23
Key: 823 		 Value: 16
Key: 965 		 Value: 28
Key: 777 		 Value: 28
Key: 3b1 		 Value: 24
Key: 6ec 		 Value: 22
Key: 885 		 Value: 22
Key: 1be 		 Value: 22
Key: f0b 		 Value: 19
Key: 1ce 		 Value: 26
Key: 6cb 		 Value: 22
Key: 3c3 		 Value: 20
Key: ec6 		 Value: 25
Key: e7e 		 Value: 20
Key: 29b 		 Value: 26
Key: 62c 		 Value: 24
Key: ffc 		 Value: 12
Key: 613 		 Value: 30
Key: 446 		 Value: 36
Key: 0c5 		 Value: 18
Key: 72b 		 Value: 21
Key: 43e 		 Value: 20
Key: e81 		 Value: 30
Key: 8b4 		 Value: 31
Key: 110 		 Value: 33
Key: 44a 		 Value: 21
Key: abe 		 Value: 27
Key: 538 		 Value: 25
Key: 81e 		 Value: 27
Key: 5a2 		 Value: 30
Key: 51c 		 Value: 26
Key: 0ac 		 Value: 27
Key: a4e 		 Value: 25
Key: 60b 		 Value: 30
Key: eee 		 Value: 18
Key: e87 		 Value: 23
Key: 288 		 Value: 15
Key: c69 		 Value: 30
Key: 2ef 		 Value: 21
Key: 211 		 Value: 28
Key: c0d 		 Value: 23
Key: d87 		 Value: 22
Key: 0d8 		 Value: 23
Key: c61 		 Value: 23
Key: e4a 		 Value: 29
Key: 688 		 Value: 24
Key: c70 		 Value: 21
Key: 621 		 Value: 41
Key: 8aa 		 Value: 27
Key: b2d 		 Value: 27
Key: ac8 		 Value: 22
Key: 0eb 		 Value: 24
Key: f6c 		 Value: 30
Key: e7a 		 Value: 31
Key: 87d 		 Value: 27
Key: 9e8 		 Value: 17
Key: e73 		 Value: 35
Key: f6e 		 Value: 23
Key: 15a 		 Value: 24
Key: d27 		 Value: 23
Key: 65f 		 Value: 31
Key: 29a 		 Value: 28
Key: fbc 		 Value: 25
Key: 2bb 		 Value: 24
Key: 6fc 		 Value: 22
Key: 5c7 		 Value: 29
Key: ee9 		 Value: 27
Key: f64 		 Value: 27
Key: 164 		 Value: 30
Key: 9e2 		 Value: 28
Key: bdf 		 Value: 26
Key: a01 		 Value: 22
Key: a56 		 Value: 40
Key: d7e 		 Value: 25
Key: e5f 		 Value: 24
Key: dff 		 Value: 31
Key: 75e 		 Value: 26
Key: 47b 		 Value: 20
Key: 687 		 Value: 21
Key: e53 		 Value: 33
Key: 509 		 Value: 31
Key: 14b 		 Value: 30
Key: e6a 		 Value: 28
Key: a40 		 Value: 29
Key: 474 		 Value: 36
Key: 385 		 Value: 25
Key: 34f 		 Value: 23
Key: e83 		 Value: 35
Key: ad3 		 Value: 34
Key: 05a 		 Value: 16
Key: 043 		 Value: 20
Key: 5fc 		 Value: 26
Key: 35b 		 Value: 24
Key: ad9 		 Value: 27
Key: dfc 		 Value: 23
Key: c43 		 Value: 25
Key: 588 		 Value: 23
Key: 635 		 Value: 18
Key: a30 		 Value: 22
Key: 286 		 Value: 25
Key: b62 		 Value: 22
Key: 33e 		 Value: 27
Key: 443 		 Value: 18
Key: 422 		 Value: 18
Key: ca0 		 Value: 24
Key: 681 		 Value: 23
Key: ed2 		 Value: 21
Key: dd2 		 Value: 35
Key: f97 		 Value: 28
Key: 73d 		 Value: 21
Key: 199 		 Value: 33
Key: 271 		 Value: 24
Key: f8e 		 Value: 28
Key: f12 		 Value: 28
Key: f1c 		 Value: 25
Key: e7c 		 Value: 21
Key: 72f 		 Value: 33
Key: 498 		 Value: 23
Key: fb0 		 Value: 32
Key: 100 		 Value: 31
Key: 096 		 Value: 24
Key: a08 		 Value: 26
Key: 0ef 		 Value: 21
Key: 50f 		 Value: 17
Key: 5d5 		 Value: 33
Key: db1 		 Value: 24
Key: 6e3 		 Value: 30
Key: f10 		 Value: 23
Key: 8e8 		 Value: 29
Key: 269 		 Value: 22
Key: 0ca 		 Value: 22
Key: b05 		 Value: 28
Key: cb6 		 Value: 30
Key: 808 		 Value: 33
Key: 53a 		 Value: 15
Key: dbd 		 Value: 30
Key: 66a 		 Value: 28
Key: 7e6 		 Value: 25
Key: 73f 		 Value: 23
Key: 9de 		 Value: 20
Key: 6e2 		 Value: 27
Key: 591 		 Value: 26
Key: 3f8 		 Value: 19
Key: 4fb 		 Value: 25
Key: f54 		 Value: 26
Key: 91d 		 Value: 23
Key: c99 		 Value: 28
Key: 9fe 		 Value: 17
Key: ce8 		 Value: 22
Key: 577 		 Value: 27
Key: bdb 		 Value: 20
Key: 3e2 		 Value: 27
Key: 2c0 		 Value: 28
Key: 29f 		 Value: 22
Key: ca5 		 Value: 22
Key: 275 		 Value: 28
Key: a31 		 Value: 35
Key: 753 		 Value: 20
Key: 5e8 		 Value: 27
Key: 590 		 Value: 25
Key: e86 		 Value: 28
Key: a2d 		 Value: 28
Key: 3ff 		 Value: 27
Key: abf 		 Value: 37
Key: b8c 		 Value: 19
Key: e4b 		 Value: 26
Key: d6d 		 Value: 26
Key: cb3 		 Value: 21
Key: c9c 		 Value: 21
Key: 396 		 Value: 26
Key: 866 		 Value: 22
Key: 3d7 		 Value: 24
Key: 6bc 		 Value: 24
Key: ec1 		 Value: 21
Key: 308 		 Value: 35
Key: 5d3 		 Value: 30
Key: 556 		 Value: 25
Key: 2a3 		 Value: 26
Key: 7d6 		 Value: 32
Key: a0f 		 Value: 35
Key: 91c 		 Value: 28
Key: 29e 		 Value: 19
Key: 883 		 Value: 20
Key: e1b 		 Value: 19
Key: ccf 		 Value: 22
Key: 9c0 		 Value: 29
Key: eef 		 Value: 27
Key: 2e4 		 Value: 31
Key: 01f 		 Value: 30
Key: 4b7 		 Value: 33
Key: c31 		 Value: 27
Key: 9ba 		 Value: 34
Key: 2dc 		 Value: 29
Key: 249 		 Value: 29
Key: 0d3 		 Value: 34
Key: 8a1 		 Value: 26
Key: 5a6 		 Value: 30
Key: 1ac 		 Value: 19
Key: 9db 		 Value: 31
Key: 0fe 		 Value: 20
Key: 9bb 		 Value: 33
Key: b02 		 Value: 25
Key: 86e 		 Value: 24
Key: d3f 		 Value: 29
Key: 09f 		 Value: 28
Key: 18f 		 Value: 30
Key: 08d 		 Value: 24
Key: b4d 		 Value: 26
Key: afe 		 Value: 26
Key: 633 		 Value: 20
Key: 5ce 		 Value: 30
Key: a33 		 Value: 32
Key: 190 		 Value: 20
Key: b8e 		 Value: 25
Key: 5c5 		 Value: 31
Key: fef 		 Value: 34
Key: 0a5 		 Value: 30
Key: ca7 		 Value: 22
Key: cfa 		 Value: 26
Key: b6d 		 Value: 29
Key: a70 		 Value: 33
Key: a03 		 Value: 26
Key: cf0 		 Value: 13
Key: 465 		 Value: 26
Key: 057 		 Value: 22
Key: 72a 		 Value: 18
Key: f30 		 Value: 17
Key: 985 		 Value: 18
Key: 798 		 Value: 18
Key: 776 		 Value: 20
Key: 9a5 		 Value: 19
Key: 0c9 		 Value: 26
Key: ac0 		 Value: 29
Key: a50 		 Value: 28
Key: 0d5 		 Value: 27
Key: 2e7 		 Value: 24
Key: 319 		 Value: 29
Key: db9 		 Value: 20
Key: a4b 		 Value: 24
Key: 169 		 Value: 16
Key: e3e 		 Value: 21
Key: 276 		 Value: 29
Key: 8cf 		 Value: 27
Key: 891 		 Value: 32
Key: b14 		 Value: 27
Key: 4d2 		 Value: 31
Key: 3db 		 Value: 28
Key: 709 		 Value: 33
Key: 784 		 Value: 28
Key: 71f 		 Value: 29
Key: 365 		 Value: 28
Key: 58f 		 Value: 28
Key: b08 		 Value: 25
Key: 014 		 Value: 28
Key: cf8 		 Value: 17
Key: f2f 		 Value: 27
Key: 11f 		 Value: 24
Key: 187 		 Value: 26
Key: 539 		 Value: 28
Key: 915 		 Value: 34
Key: 82f 		 Value: 29
Key: b72 		 Value: 28
Key: 3e7 		 Value: 34
Key: cec 		 Value: 25
Key: 15f 		 Value: 25
Key: d64 		 Value: 19
Key: 31c 		 Value: 21
Key: a3b 		 Value: 30
Key: a14 		 Value: 26
Key: 44d 		 Value: 16
Key: 0c4 		 Value: 33
Key: a2f 		 Value: 21
Key: 3c8 		 Value: 21
Key: 0b5 		 Value: 22
Key: f83 		 Value: 21
Key: 592 		 Value: 14
Key: e90 		 Value: 18
Key: 2ca 		 Value: 32
Key: 625 		 Value: 21
Key: 285 		 Value: 18
Key: 641 		 Value: 21
Key: 58e 		 Value: 25
Key: 026 		 Value: 26
Key: 893 		 Value: 25
Key: 6b1 		 Value: 22
Key: cb7 		 Value: 27
Key: daf 		 Value: 39
Key: 078 		 Value: 27
Key: d4c 		 Value: 22
Key: 1ef 		 Value: 22
Key: e2c 		 Value: 33
Key: 920 		 Value: 24
Key: 693 		 Value: 20
Key: 34a 		 Value: 25
Key: c28 		 Value: 19
Key: 3bc 		 Value: 22
Key: 05f 		 Value: 27
Key: 9ff 		 Value: 21
Key: fa8 		 Value: 22
Key: a22 		 Value: 24
Key: e45 		 Value: 18
Key: a09 		 Value: 16
Key: c11 		 Value: 30
Key: 814 		 Value: 26
Key: 78b 		 Value: 24
Key: 050 		 Value: 25
Key: 224 		 Value: 20
Key: 1f0 		 Value: 22
Key: 35c 		 Value: 24
Key: 7b8 		 Value: 24
Key: 0a7 		 Value: 28
Key: f2c 		 Value: 31
Key: a92 		 Value: 24
Key: 2a0 		 Value: 25
Key: a53 		 Value: 32
Key: d92 		 Value: 21
Key: 112 		 Value: 26
Key: 4d1 		 Value: 23
Key: 4d7 		 Value: 24
Key: 22d 		 Value: 27
Key: 436 		 Value: 26
Key: 622 		 Value: 32
Key: d41 		 Value: 24
Key: 671 		 Value: 24
Key: 910 		 Value: 31
Key: add 		 Value: 28
Key: f7a 		 Value: 27
Key: ff8 		 Value: 13
Key: 5fe 		 Value: 26
Key: ab3 		 Value: 31
Key: f87 		 Value: 24
Key: ae2 		 Value: 28
Key: 4de 		 Value: 23
Key: 179 		 Value: 30
Key: 752 		 Value: 25
Key: a3c 		 Value: 24
Key: d07 		 Value: 24
Key: de4 		 Value: 23
Key: c35 		 Value: 28
Key: c3b 		 Value: 28
Key: 020 		 Value: 21
Key: da8 		 Value: 22
Key: bbc 		 Value: 23
Key: 4c1 		 Value: 23
Key: daa 		 Value: 26
Key: c5f 		 Value: 24
Key: d66 		 Value: 31
Key: bfc 		 Value: 20
Key: 76c 		 Value: 24
Key: af0 		 Value: 27
Key: 69e 		 Value: 26
Key: 0fd 		 Value: 22
Key: e24 		 Value: 26
Key: 36f 		 Value: 20
Key: 16a 		 Value: 23
Key: 674 		 Value: 24
Key: 349 		 Value: 30
Key: fe9 		 Value: 21
Key: 080 		 Value: 36
Key: eb2 		 Value: 22
Key: d33 		 Value: 27
Key: d8c 		 Value: 30
Key: 88b 		 Value: 26
Key: 0ce 		 Value: 25
Key: bda 		 Value: 30
Key: 2ff 		 Value: 20
Key: 4a5 		 Value: 29
Key: cca 		 Value: 19
Key: 63c 		 Value: 23
Key: 865 		 Value: 22
Key: e06 		 Value: 31
Key: 41a 		 Value: 15
Key: ed3 		 Value: 20
Key: 468 		 Value: 22
Key: 101 		 Value: 26
Key: c74 		 Value: 27
Key: 52e 		 Value: 29
Key: 82b 		 Value: 20
Key: 31f 		 Value: 26
Key: 174 		 Value: 23
Key: 047 		 Value: 30
Key: 27f 		 Value: 23
Key: c04 		 Value: 18
Key: 01a 		 Value: 23
Key: 3e3 		 Value: 25
Key: 675 		 Value: 19
Key: 241 		 Value: 34
Key: ba1 		 Value: 23
Key: 3a3 		 Value: 22
Key: 623 		 Value: 26
Key: e22 		 Value: 30
Key: f43 		 Value: 24
Key: e3a 		 Value: 17
Key: d56 		 Value: 13
Key: 2ac 		 Value: 29
Key: e94 		 Value: 26
Key: 96e 		 Value: 22
Key: b90 		 Value: 19
Key: cb2 		 Value: 26
Key: 97f 		 Value: 30
Key: eeb 		 Value: 22
Key: 10a 		 Value: 18
Key: 6d3 		 Value: 29
Key: bd9 		 Value: 21
Key: 809 		 Value: 19
Key: 259 		 Value: 40
Key: 0a2 		 Value: 19
Key: fc5 		 Value: 21
Key: d2b 		 Value: 27
Key: c52 		 Value: 12
Key: fe1 		 Value: 28
Key: 8a9 		 Value: 31
Key: 4e6 		 Value: 21
Key: 192 		 Value: 15
Key: 4a0 		 Value: 29
Key: 1e3 		 Value: 28
Key: 56c 		 Value: 29
Key: baf 		 Value: 23
Key: 7e0 		 Value: 20
Key: f2d 		 Value: 34
Key: 283 		 Value: 25
Key: f31 		 Value: 29
Key: e52 		 Value: 20
